Component,Publication Grant Number,Publication Consortium Name,Publication Theme Name,Publication Doi,Publication Journal,Pubmed Id,Publication Title,Pubmed Url,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility
PublicationView,CA214411,TEC,"Microenvironment, Drug Resistance/Sensitivity, Heterogeneity",10.1016/j.cobme.2021.100309,Curr Opin Biomed Eng,37206309,State of the art in integrated biosensors for organ-on-a-chip applications,https://pubmed.ncbi.nlm.nih.gov/37206309,2021,"Physical environment, Metabolic activity, Biomarkers, Organ-on-a-chip, Integrated Biosensors","Yangzhi Zhu, Kalpana Mandal, Ana Lopez Hernandez, Satoru Kawakita, Wei Huang, Praveen Bandaru, Samad Ahadian, Han-Jun Kim, Vadim Jucaud, Mehmet R Dokmeci, Ali Khademhosseini","Organ-on-a-chip (OoC) models are bioengineered tissue constructs integrated with microfluidics that recapitulate the key features of the physiology of human organs and tissues with applications related to drug development and personalized medicine. The characterization of OoCs relies on conventional labor-intensive approaches despite the many years of research in the field. The physical environment of the tissue constructs, functionality, and metabolic activity of the cells must be monitored to ensure the behavior of the cells, and the cellular environments represent <i>in vivo</i> physiology. Current efforts focus on monitoring these parameters, particularly with in-line biosensors integrated with OoCs. In this review, we describe the recent advances in different biosensing modalities applied to monitor the environment and functionality of OoC models and offer suggestions for future directions in OoC applications.",Microfluidics,Pan-cancer,Not Applicable,Not Applicable,Open Access
PublicationView,CA274502,CSBC,"Computational Resource, Heterogeneity",10.1093/narcan/zcad020,NAR Cancer,37213254,Current proteomics methods applicable to dissecting the DNA damage response,https://pubmed.ncbi.nlm.nih.gov/37213254,2023,,"Monita Muralidharan, Nevan J Krogan, Mehdi Bouhaddou, Minkyu Kim","The DNA damage response (DDR) entails reorganization of proteins and protein complexes involved in DNA repair. The coordinated regulation of these proteomic changes maintains genome stability. Traditionally, regulators and mediators of DDR have been investigated individually. However, recent advances in mass spectrometry (MS)-based proteomics enable us to globally quantify changes in protein abundance, post-translational modifications (PTMs), protein localization, and protein-protein interactions (PPIs) in cells. Furthermore, structural proteomics approaches, such as crosslinking MS (XL-MS), hydrogen/deuterium exchange MS (H/DX-MS), Native MS (nMS), provide large structural information of proteins and protein complexes, complementary to the data collected from conventional methods, and promote integrated structural modeling. In this review, we will overview the current cutting-edge functional and structural proteomics techniques that are being actively utilized and developed to help interrogate proteomic changes that regulate the DDR.","Cross-Linking Mass Spectrometry, Affinity Purification Mass Spectrometry, Proteomics Assay",Pan-cancer,Not Applicable,Not Applicable,Open Access
PublicationView,CA227136,TEC,"Microenvironment, Drug Resistance/Sensitivity",10.3171/2021.11.focus21587,Neurosurg Focus,35104791,The immunology of low-grade gliomas,https://pubmed.ncbi.nlm.nih.gov/35104791,2022,"Microenvironment, immunology, Low-grade Glioma, Immune Cell Infiltration","Alexander F Haddad, Jacob S Young, Jun Yeop Oh, Hideho Okada, Manish K Aghi","Low-grade gliomas (LGGs), which harbor an isocitrate dehydrogenase (IDH) mutation, have a better prognosis than their high-grade counterparts; nonetheless, they remain incurable and impart significant negative impacts on patients' quality of life. Although immunotherapies represent a novel avenue of treatment for patients with LGGs, they have not yet been successful. Accurately selecting and evaluating immunotherapies requires a detailed understanding of LGG tumor immunology and the underlying tumor immune phenotype. A growing body of literature suggests that LGGs significantly differ in their immunology from high-grade gliomas, highlighting the importance of investigation into LGG immunology specifically. In this review, the authors aimed to discuss relevant research surrounding the LGG tumor immune microenvironment, including immune cell infiltration, tumor immunogenicity, checkpoint molecule expression, the impact of an IDH mutation, and implications for immunotherapies, while also briefly touching on current immunotherapy trials and future directions for LGG immunology research.","Immunotherapy, Clinical Study",Glioma,Not Applicable,Not Applicable,Open Access
PublicationView,CA217450,CSBC,"Microenvironment, Drug Resistance/Sensitivity, Heterogeneity",10.1158/2159-8290.cd-22-0620,Cancer Discov,37062002,Integrative Analysis of a Large Real-World Cohort of Small Cell Lung Cancer Identifies Distinct Genetic Subtypes and Insights into Histologic Transformation,https://pubmed.ncbi.nlm.nih.gov/37062002,2023,,"Smruthy Sivakumar, Jay A Moore, Meagan Montesion, Radwa Sharaf, Douglas I Lin, Caterina I Colón, Zoe Fleishmann, Ericka M Ebot, Justin Y Newberg, Jennifer M Mills, Priti S Hegde, Quintin Pan, Afshin Dowlati, Garrett M Frampton, Julien Sage, Christine M Lovly","Small cell lung cancer (SCLC) is a recalcitrant neuroendocrine carcinoma with dismal survival outcomes. A major barrier in the field has been the relative paucity of human tumors studied. Here we provide an integrated analysis of 3,600 ""real-world"" SCLC cases. This large cohort allowed us to identify new recurrent alterations and genetic subtypes, including STK11-mutant tumors (1.7%) and TP53/RB1 wild-type tumors (5.5%), as well as rare cases that were human papillomavirus-positive. In our cohort, gene amplifications on 4q12 are associated with increased overall survival, whereas CCNE1 amplification is associated with decreased overall survival. We also identify more frequent alterations in the PTEN pathway in brain metastases. Finally, profiling cases of SCLC containing oncogenic drivers typically associated with NSCLC demonstrates that SCLC transformation may occur across multiple distinct molecular cohorts of NSCLC. These novel and unsuspected genetic features of SCLC may help personalize treatment approaches for this fatal form of cancer. Significance: Minimal changes in therapy and survival outcomes have occurred in SCLC for the past four decades. The identification of new genetic subtypes and novel recurrent mutations as well as an improved understanding of the mechanisms of transformation to SCLC from NSCLC may guide the development of personalized therapies for subsets of patients with SCLC. This article is highlighted in the In This Issue feature, p. 1501.","Next Generation Sequencing, Hematoxylin and Eosin Staining Method","Lung Non-Small Cell Carcinoma, Lung Small Cell Carcinoma, Lung Adenocarcinoma",Lung,Not Applicable,Open Access
PublicationView,CA209891,CSBC,"Drug Resistance/Sensitivity, Evolution, Heterogeneity",10.1038/s41467-023-38864-0,Nat Commun,37336883,Structural insights into regulation of the PEAK3 pseudokinase scaffold by 14-3-3,https://pubmed.ncbi.nlm.nih.gov/37336883,2023,,"Hayarpi Torosyan, Michael D Paul, Antoine Forget, Megan Lo, Devan Diwanji, Krzysztof Pawłowski, Nevan J Krogan, Natalia Jura, Kliment A Verba","PEAK pseudokinases are molecular scaffolds which dimerize to regulate cell migration, morphology, and proliferation, as well as cancer progression. The mechanistic role dimerization plays in PEAK scaffolding remains unclear, as there are no structures of PEAKs in complex with their interactors. Here, we report the cryo-EM structure of dimeric PEAK3 in complex with an endogenous 14-3-3 heterodimer. Our structure reveals an asymmetric binding mode between PEAK3 and 14-3-3 stabilized by one pseudokinase domain and the SHED domain of the PEAK3 dimer. The binding interface contains a canonical phosphosite-dependent primary interaction and a unique secondary interaction not observed in previous structures of 14-3-3/client complexes. Additionally, we show that PKD regulates PEAK3/14-3-3 binding, which when prevented leads to PEAK3 nuclear enrichment and distinct protein-protein interactions. Altogether, our data demonstrate that PEAK3 dimerization forms an unusual secondary interface for 14-3-3 binding, facilitating 14-3-3 regulation of PEAK3 localization and interactome diversity.","Cell Culture, Cryo-Electron Microscopy, Co-Immunoprecipitation, Co-Immunoprecipitation Mass Spectrometry, Immunofluorescent Staining Method


",Pan-cancer,Not Applicable,"EMD-27630,  EMD-27684, PXD035574",Open Access
PublicationView,CA256054,TEC,"Platform Development, Mechano-resistance, Metastasis",10.1021/acsomega.3c00705,ACS Omega,37214705,Chemical Activation and Mechanical Sensitization of Piezo1 Enhance TRAIL-Mediated Apoptosis in Glioblastoma Cells,https://pubmed.ncbi.nlm.nih.gov/37214705,2023,,"Samantha V Knoblauch, Shanay H Desai, Jenna A Dombroski, Nicole S Sarna, Jacob M Hope, Michael R King","Glioblastoma multiforme (GBM), the most common and aggressive type of primary brain tumor, has a mean survival of less than 15 months after standard treatment. Treatment with the current standard of care, temozolomide (TMZ), may be ineffective if damaged tumor cells undergo DNA repair or acquire mutations that inactivate transcription factor p53. Tumor necrosis factor-related apoptosis-inducing ligand (TRAIL) triggers apoptosis in multiple tumor types, while evading healthy cells, through a transcription-independent mechanism. GBM is particularly resistant to TRAIL, but studies have found that the mechanoreceptor Piezo1 can be activated under static conditions via Yoda1 agonist to induce TRAIL sensitization in other cancer cell lines. This study examines the effects and the mechanism of chemical and mechanical activation of Piezo1, via Yoda1 and fluid shear stress (FSS) stimulation, on TRAIL-mediated apoptosis in GBM cells. Here, we demonstrate that Yoda1 + TRAIL and FSS + TRAIL combination therapies significantly increase apoptosis in two GBM cell lines relative to controls. Further, cells known to be resistant to TMZ were found to have higher levels of Piezo1 expression and were more susceptible to TRAIL sensitization by Piezo1 activation. The combinatory Yoda1 + TRAIL treatment significantly decreased cell viability in TMZ-resistant GBM cells when compared to treatment with both low and high doses of TMZ. The results of this study suggest the potential of a highly specific and minimally invasive approach to overcome TMZ resistance in GBM by sensitizing cancer cells to TRAIL treatment via chemical or mechanical activation of Piezo1.","Apoptosis Assay, Flow Cytometry",Glioblastoma,Brain ,Not Applicable,Open Access
PublicationView,CA261842,PS-ON,Drug Resistance/Sensitivity,10.1158/1078-0432.ccr-20-4750,Clin Cancer Res,33648989,Vascular Normalization to Improve Treatment of COVID-19: Lessons from Treatment of Cancer,https://pubmed.ncbi.nlm.nih.gov/33648989,2021,,"Lance L Munn, Triantafyllos Stylianopoulos, Natalie K Jain, C Corey Hardin, Melin J Khandekar, Rakesh K Jain","The dramatic impact of the COVID-19 pandemic has resulted in an ""all hands on deck"" approach to find new therapies to improve outcomes in this disease. In addition to causing significant respiratory pathology, infection with SARS-CoV-2 (like infection with other respiratory viruses) directly or indirectly results in abnormal vasculature, which may contribute to hypoxemia. These vascular effects cause significant morbidity and may contribute to mortality from the disease. Given that abnormal vasculature and poor oxygenation are also hallmarks of solid tumors, lessons from the treatment of cancer may help identify drugs that can be repurposed to treat COVID-19. Although the mechanisms that result in vascular abnormalities in COVID-19 are not fully understood, it is possible that there is dysregulation of many of the same angiogenic and thrombotic pathways as seen in patients with cancer. Many anticancer therapeutics, including androgen deprivation therapy (ADT) and immune checkpoint blockers (ICB), result in vascular normalization in addition to their direct effects on tumor cells. Therefore, these therapies, which have been extensively explored in clinical trials of patients with cancer, may have beneficial effects on the vasculature of patients with COVID-19. Furthermore, these drugs may have additional effects on the disease course, as some ADTs may impact viral entry, and ICBs may accelerate T-cell-mediated viral clearance. These insights from the treatment of cancer may be leveraged to abrogate the vascular pathologies found in COVID-19 and other forms of hypoxemic respiratory failure.",Mathematical Modeling,Not Applicable,Not Applicable,Not Applicable,Open Access
PublicationView,CA217450,CSBC,"Microenvironment, Drug Resistance/Sensitivity, Heterogeneity",10.1158/1078-0432.ccr-22-2242,Clin Cancer Res,37071497,Dynamics of Sequence and Structural Cell-Free DNA Landscapes in Small-Cell Lung Cancer,https://pubmed.ncbi.nlm.nih.gov/37071497,2023,,"Lavanya Sivapalan, Wade T Iams, Zineb Belcaid, Susan C Scott, Noushin Niknafs, Archana Balan, James R White, Prasad Kopparapu, Christopher Cann, Blair V Landon, Gavin Pereira, Victor E Velculescu, Christine L Hann, Christine M Lovly, Valsamo Anagnostou","Purpose: Patients with small-cell lung cancer (SCLC) have an exceptionally poor prognosis, calling for improved real-time noninvasive biomarkers of therapeutic response. Experimental design: We performed targeted error-correction sequencing on 171 serial plasmas and matched white blood cell (WBC) DNA from 33 patients with metastatic SCLC who received treatment with chemotherapy (n = 16) or immunotherapy-containing (n = 17) regimens. Tumor-derived sequence alterations and plasma aneuploidy were evaluated serially and combined to assess changes in total cell-free tumor load (cfTL). Longitudinal dynamic changes in cfTL were monitored to determine circulating cell-free tumor DNA (ctDNA) molecular response during therapy. Results: Combined tiered analyses of tumor-derived sequence alterations and plasma aneuploidy allowed for the assessment of ctDNA molecular response in all patients. Patients classified as molecular responders (n = 9) displayed sustained elimination of cfTL to undetectable levels. For 14 patients, we observed initial molecular responses, followed by ctDNA recrudescence. A subset of patients (n = 10) displayed a clear pattern of molecular progression, with persistence of cfTL across all time points. Molecular responses captured the therapeutic effect and long-term clinical outcomes in a more accurate and rapid manner compared with radiographic imaging. Patients with sustained molecular responses had longer overall (log-rank P = 0.0006) and progression-free (log-rank P < 0.0001) survival, with molecular responses detected on average 4 weeks earlier than imaging. Conclusions: ctDNA analyses provide a precise approach for the assessment of early on-therapy molecular responses and have important implications for the management of patients with SCLC, including the development of improved strategies for real-time tumor burden monitoring. See related commentary by Pellini and Chaudhuri, p. 2176.","Next Generation Sequencing, Targeted Error Correction Sequencing ",Lung Small Cell Carcinoma,Lung,EGAS00001006831,Open Access
PublicationView,"CA210180, CA238720","CSBC, PS-ON","Microenvironment, Drug Resistance/Sensitivity, Heterogeneity, Evolution",10.26508/lsa.202201466,Life Sci Alliance,37169593,Predictive data-driven modeling of C-terminal tyrosine function in the EGFR signaling network,https://pubmed.ncbi.nlm.nih.gov/37169593,2023,,"Jacqueline S Gerritsen, Joseph S Faraguna, Rudy Bonavia, Frank B Furnari, Forest M White","The epidermal growth factor receptor (EGFR) has been studied extensively because of its critical role in cellular signaling and association with disease. Previous models have elucidated interactions between EGFR and downstream adaptor proteins or showed phenotypes affected by EGFR. However, the link between specific EGFR phosphorylation sites and phenotypic outcomes is still poorly understood. Here, we employed a suite of isogenic cell lines expressing site-specific mutations at each of the EGFR C-terminal phosphorylation sites to interrogate their role in the signaling network and cell biological response to stimulation. Our results demonstrate the resilience of the EGFR network, which was largely similar even in the context of multiple Y-to-F mutations in the EGFR C-terminal tail, while also revealing nodes in the network that have not previously been linked to EGFR signaling. Our data-driven model highlights the signaling network nodes associated with distinct EGF-driven cell responses, including migration, proliferation, and receptor trafficking. Application of this same approach to less-studied RTKs should provide a plethora of novel associations that should lead to an improved understanding of these signaling networks.","Plasmid Construction, Flow Cytometry, Cell Culture, Liquid Chromatography Mass Spectrometry, Cell Proliferation Assay, Migration Assay",Pan-cancer,Not Applicable,PXD032403,Open Access
PublicationView,,,,10.1182/bloodadvances.2022009426,Blood Adv,37126659,Circulating tumor DNA adds specificity to PET after axicabtagene ciloleucel in large B-cell lymphoma,https://pubmed.ncbi.nlm.nih.gov/37126659,2023,,"Erin A Dean, Gregory J Kimmel, Matthew J Frank, Ali Bukhari, Nasheed M Hossain, Michael D Jain, Saurabh Dahiya, David B Miklos, Philipp M Altrock, Frederick L Locke","We examined the meaning of metabolically active lesions on 1-month restaging nuclear imaging of patients with relapsed/refractory large B-cell lymphoma receiving axicabtagene ciloleucel (axi-cel) by assessing the relationship between total metabolic tumor volume (MTV) on positron emission tomography (PET) scans and circulating tumor DNA (ctDNA) in the plasma. In this prospective multicenter sample collection study, MTV was retrospectively calculated via commercial software at baseline, 1, and 3 months after chimeric antigen receptor (CAR) T-cell therapy; ctDNA was available before and after axi-cel administration. Spearman correlation coefficient (rs) was used to study the relationship between the variables, and a mathematical model was constructed to describe tumor dynamics 1 month after CAR T-cell therapy. The median time between baseline scan and axi-cel infusion was 33 days (range, 1-137 days) for all 57 patients. For 41 of the patients with imaging within 33 days of axi-cel or imaging before that time but no bridging therapy, the correlation at baseline became stronger (rs, 0.61; P < .0001) compared with all patients (rs, 0.38; P = .004). Excluding patients in complete remission with no measurable residual disease, ctDNA and MTV at 1 month did not correlate (rs, 0.28; P = .11) but correlated at 3 months (rs, 0.79; P = .0007). Modeling of tumor dynamics, which incorporated ctDNA and inflammation as part of MTV, recapitulated the outcomes of patients with positive radiologic 1-month scans. Our results suggested that nonprogressing hypermetabolic lesions on 1-month PET represent ongoing treatment responses, and their composition may be elucidated by concurrently examining the ctDNA.",Mathematical Modeling,"Lymphoma, Hodgkin Lymphoma, Non-Hodgkin Lymphoma",Not Applicable,Not Applicable,Open Access
PublicationView,CA243004,CSBC,"Microenvironment, Metastasis",10.1371/journal.pcbi.1011118,PLoS Comput Biol,37200395,Structure learning for gene regulatory networks,https://pubmed.ncbi.nlm.nih.gov/37200395,2023,,"Anthony Federico, Joseph Kern, Xaralabos Varelas, Stefano Monti","Inference of biological network structures is often performed on high-dimensional data, yet is hindered by the limited sample size of high throughput ""omics"" data typically available. To overcome this challenge, often referred to as the ""small n, large p problem,"" we exploit known organizing principles of biological networks that are sparse, modular, and likely share a large portion of their underlying architecture. We present SHINE-Structure Learning for Hierarchical Networks-a framework for defining data-driven structural constraints and incorporating a shared learning paradigm for efficiently learning multiple Markov networks from high-dimensional data at large p/n ratios not previously feasible. We evaluated SHINE on Pan-Cancer data comprising 23 tumor types, and found that learned tumor-specific networks exhibit expected graph properties of real biological networks, recapture previously validated interactions, and recapitulate findings in literature. Application of SHINE to the analysis of subtype-specific breast cancer networks identified key genes and biological processes for tumor maintenance and survival as well as potential therapeutic targets for modulating known breast cancer disease genes.",Computational Modeling,Pan-cancer,Not Applicable,Not Applicable,Open Access
PublicationView,CA232382,CSBC,"Drug Resistance/Sensitivity, Tumor-Immune",10.1158/0008-5472.can-22-2558,Cancer Res,37205789,Intermetastatic and Intrametastatic Heterogeneity Shapes Adaptive Therapy Cycling Dynamics,https://pubmed.ncbi.nlm.nih.gov/37205789,2023,,"Jill Gallaher, Maximilian Strobl, Jeffrey West, Robert Gatenby, Jingsong Zhang, Mark Robertson-Tessi, Alexander R A Anderson","Adaptive therapies that alternate between drug applications and drug-free vacations can exploit competition between sensitive and resistant cells to maximize the time to progression. However, optimal dosing schedules depend on the properties of metastases, which are often not directly measurable in clinical practice. Here, we proposed a framework for estimating features of metastases through tumor response dynamics during the first adaptive therapy treatment cycle. Longitudinal prostate-specific antigen (PSA) levels in 16 patients with metastatic castration-resistant prostate cancer undergoing adaptive androgen deprivation treatment were analyzed to investigate relationships between cycle dynamics and clinical variables such as Gleason score, the change in the number of metastases over a cycle, and the total number of cycles over the course of treatment. The first cycle of adaptive therapy, which consists of a response period (applying therapy until 50% PSA reduction), and a regrowth period (removing treatment until reaching initial PSA levels), delineated several features of the computational metastatic system: larger metastases had longer cycles; a higher proportion of drug-resistant cells slowed the cycles; and a faster cell turnover rate sped up drug response time and slowed regrowth time. The number of metastases did not affect cycle times, as response dynamics were dominated by the largest tumors rather than the aggregate. In addition, systems with higher intermetastasis heterogeneity responded better to continuous therapy and correlated with dynamics from patients with high or low Gleason scores. Conversely, systems with higher intrametastasis heterogeneity responded better to adaptive therapy and correlated with dynamics from patients with intermediate Gleason scores. Significance: Multiscale mathematical modeling combined with biomarker dynamics during adaptive therapy helps identify underlying features of metastatic cancer to inform treatment decisions.",Computational Modeling,Prostate Adenocarcinoma,Prostate Gland,Not Applicable,Open Access
