Component,Publication Grant Number,Publication Doi,Publication Journal,Pubmed Id,Pubmed Url,Publication Title,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility,Publication Tumor Type.1,tool,Unnamed: 19,PublicationView_id
PublicationView,CA224012,10.1016/j.tranon.2023.101662,Transl Oncol,37004490,https://pubmed.ncbi.nlm.nih.gov/37004490,A Novel 3DNA® Nanocarrier effectively delivers payloads to pancreatic tumors,2023,"Pancreatic cancer, Active Targeting, Sirna Delivery, Nanotherapy","Grace A McCarthy, Aditi Jain, Roberto Di Niro, Christopher W Schultz, Wei Jiang, Charles J Yeo, Jessica Bowers, Jennifer Finan, Kelly Rhodes, Lou Casta, Vivi Hou, Anthony Stefanoni, Samantha Z Brown, Avinoam Nevler, Lebaron C Agostini, Lori Getts, Robert Getts, Jonathan R Brody","Introduction: Standard-of-care systemic chemotherapies for pancreatic ductal adenocarcinoma (PDAC) currently have limited clinical benefits, in addition to causing adverse side effects in many patients. One factor known to contribute to the poor chemotherapy response is the poor drug diffusion into PDAC tumors. Novel treatment methods are therefore drastically needed to improve targeted delivery of treatments. Here, we evaluated the efficacy of the 3DNA® Nanocarrier (3DNA) platform to direct delivery of therapeutics to PDAC tumors in vivo. Materials and methods: A panel of PDAC cell lines and a patient tissue microarray were screened for established tumor-specific proteins to identify targeting moieties for active targeting of the 3DNA. NRG mice with or without orthotopic MIA PaCa-2-luciferase PDAC tumors were treated intraperitoneally with 100 μl of fluorescently labeled 3DNA. Results: Folic acid and transferrin receptors were significantly elevated in PDAC compared to normal pancreas. Accordingly, both folic acid- and transferrin-conjugated 3DNA treatments significantly increased delivery of 3DNA specifically to tumors in comparison to unconjugated 3DNA treatment. In the absence of tumors, there was an increased clearance of both folic acid-conjugated 3DNA and unconjugated 3DNA, compared to the clearance rate in tumor-bearing mice. Lastly, delivery of siLuciferase by folic acid-conjugated 3DNA in an orthotopic model of luciferase-expressing PDAC showed significant and prolonged suppression of luciferase protein expression and activity. Conclusion: Our study progresses the 3DNA technology as a reliable and effective treatment delivery platform for targeted therapeutic approaches in PDAC.","Luciferase Reporter Assay, qPCR, Immunohistochemistry Staining Method",Pancreatic Ductal Adenocarcinoma,Not Applicable,Not Applicable,Open Access,,,,37004490
PublicationView,CA263001,10.1038/s41586-023-05960-6,Nature,37076619,https://pubmed.ncbi.nlm.nih.gov/37076619,Dedifferentiation maintains melanocyte stem cells in a dynamic niche,2023,,"Qi Sun, Wendy Lee, Hai Hu, Tatsuya Ogawa, Sophie De Leon, Ioanna Katehis, Chae Ho Lim, Makoto Takeo, Michael Cammer, M Mark Taketo, Denise L Gay, Sarah E Millar, Mayumi Ito","For unknow reasons, the melanocyte stem cell (McSC) system fails earlier than other adult stem cell populations<sup>1</sup>, which leads to hair greying in most humans and mice<sup>2,3</sup>. Current dogma states that McSCs are reserved in an undifferentiated state in the hair follicle niche, physically segregated from differentiated progeny that migrate away following cues of regenerative stimuli<sup>4-8</sup>. Here we show that most McSCs toggle between transit-amplifying and stem cell states for both self-renewal and generation of mature progeny, a mechanism fundamentally distinct from those of other self-renewing systems. Live imaging and single-cell RNA sequencing revealed that McSCs are mobile, translocating between hair follicle stem cell and transit-amplifying compartments where they reversibly enter distinct differentiation states governed by local microenvironmental cues (for example, WNT). Long-term lineage tracing demonstrated that the McSC system is maintained by reverted McSCs rather than by reserved stem cells inherently exempt from reversible changes. During ageing, there is accumulation of stranded McSCs that do not contribute to the regeneration of melanocyte progeny. These results identify a new model whereby dedifferentiation is integral to homeostatic stem cell maintenance and suggest that modulating McSC mobility may represent a new approach for the prevention of hair greying.","Imaging, Immunofluorescent Staining Method, In Situ Hybridization, Microscopy, Single Cell RNA-Sequencing, Gene Set Enrichment Analysis",Melanoma,Skin,"GSE203051,  GSE113502",Open Access,,,,37076619
PublicationView,CA238728,10.4049/jimmunol.2200697,J Immunol,36881866,https://pubmed.ncbi.nlm.nih.gov/36881866,Type 2 Dendritic Cells Orchestrate a Local Immune Circuit to Confer Antimetastatic Immunity,2023,,"Orr-El Weizman, Sophia Luyten, Irina Krykbaeva, Eric Song, Tianyang Mao, Marcus Bosenberg, Akiko Iwasaki","The progression of transformed primary tumors to metastatic colonization is a lethal determinant of disease outcome. Although circulating adaptive and innate lymphocyte effector responses are required for effective antimetastatic immunity, whether tissue-resident immune circuits confer initial immunity at sites of metastatic dissemination remains ill defined. Here we examine the nature of local immune cell responses during early metastatic seeding in the lung using intracardiac injection to mimic monodispersed metastatic spread. Using syngeneic murine melanoma and colon cancer models, we demonstrate that lung-resident conventional type 2 dendritic cells (DC2) orchestrate a local immune circuit to confer host antimetastatic immunity. Tissue-specific ablation of lung DC2, and not peripheral DC populations, led to increased metastatic burden in the presence of an intact T cell and NK cell compartment. We demonstrate that DC nucleic acid sensing and transcription factors IRF3 and IRF7 signaling are required for early metastatic control and that DC2 serve as a robust source of proinflammatory cytokines in the lung. Critically, DC2 direct the local production of IFN-γ by lung-resident NK cells, which limits the initial metastatic burden. Collectively, our results highlight, to our knowledge, a novel DC2-NK cell axis that colocalizes around pioneering metastatic cells to orchestrate an early innate immune response program to limit initial metastatic burden in the lung.","Microscopy, Flow Cytometry",Melanoma,Skin,Not Applicable,Open Access,,,,36881866
PublicationView,CA254886,10.1093/pnasnexus/pgad243,PNAS Nexus,37593202,https://pubmed.ncbi.nlm.nih.gov/37593202,Titrating CD47 by mismatch CRISPR-interference reveals incomplete repression can eliminate IgG-opsonized tumors but limits induction of antitumor IgG,2023,"Antibodies, Macrophages, Phagocytosis, Titration, Cd47","Brandon H Hayes, Hui Zhu, Jason C Andrechak, Lawrence J Dooling, Dennis E Discher","Phagocytic elimination of solid tumors by innate immune cells seems attractive for immunotherapy, particularly because of the possibilities for acquired immunity. However, the approach remains challenging, with blockade of the macrophage checkpoint CD47 working in immunodeficient mice and against highly immunogenic tumors but not in the clinic where tumors are poorly immunogenic. Even when mouse tumors of poorly immunogenic B16F10 melanoma are opsonized to drive engulfment with a suitable monoclonal antibody (mAb), anti-CD47 blockade remains insufficient. Using both in vitro immuno-tumoroids and in vivo mouse models, we show with CRISPR interference (CRISPRi) that a relatively uniform minimum repression of CD47 by 80% is needed for phagocytosis to dominate net growth when combined with an otherwise ineffective mAb (anti-Tyrp1). Heterogeneity enriches for CD47-high cells, but mice that eliminate tumors generate prophagocytic IgGs that increase in titer with CD47 repression and with tumor accumulation of macrophages, although deeper repression does not improve survival. Given well-known limitations of antibody permeation into solid tumors, our studies clarify benchmarks for CD47 disruption that should be more clinically feasible and safer but just as effective as complete ablation. Additionally, safe but ineffective opsonization in human melanoma trials suggests that combinations with deep repression of CD47 could prove effective and initiate durable immunity.","Flow Cytometry, Immunotherapy",Melanoma,Not Applicable,Not Applicable,Open Access,,,,37593202
PublicationView,CA253553,10.1016/j.biopha.2023.115450,Biomed Pharmacother,37703663,https://pubmed.ncbi.nlm.nih.gov/37703663,Translational strategies and systems biology insights for blood-brain barrier opening and delivery in brain tumors and Alzheimer's disease,2023,"Brain tumors, Alzheimer’s disease, systems biology, Clinical Studies, Cns Drug Delivery, Blood-brain Barrier Opening","Gefei Song, Pierce Plumlee, Ju Young Ahn, Stephen Tc Wong, Hong Zhao","The blood-brain barrier (BBB) plays a critical role in determining the effectiveness of systemic treatments for brain diseases. Over the years, several innovative approaches in BBB opening and drug delivery have been developed and progressed into clinical testing phases, including focused ultrasound (FUS) with circulating microbubbles, mannitol-facilitated delivery of anti-neoplastic drugs, receptor-mediated transcytosis (RMT) by antibody-drug conjugates (ADCs), and viral vectors for gene therapy. We provided a comprehensive review of the most recent clinical applications of these approaches in managing brain tumors and Alzheimer's disease (AD), two major devastating brain diseases. Moreover, the spatial-temporal molecular heterogeneity of the BBB under disease states emphasized the importance of utilizing emerging spatial systems biology approaches to unravel novel targets for intervention within BBB and tailor strategies for enhancing drug delivery to the brain. SEARCH STRATEGY AND SELECTION CRITERIA: Data for this Review were identified by searches of clinicaltrials.gov, MEDLINE, Current Contents, PubMed, and references from relevant articles using the search terms ""blood-brain barrier"", ""CNS drug delivery"", ""BBB modulation"", ""clinical trials"", ""systems biology"", ""primary or metastatic brain tumors"", ""Alzheimer's disease"". Abstracts and reports from meetings were included only when they related directly to previously published work. Only articles published in English between 1980 and 2023 were included.","Ultrasound Imaging, Imaging",Pan-cancer,Not Applicable,Not Applicable,Open Access,,,,37703663
PublicationView,CA217297,10.1016/j.molcel.2023.08.027,Mol Cell,37738977,https://pubmed.ncbi.nlm.nih.gov/37738977,Hormone-induced enhancer assembly requires an optimal level of hormone receptor multivalent interactions,2023,"Phase separation, Enhancer, Androgen receptor, condensation, Multivalent Interaction, Intrinsically Disordered Region, Condensate Formation, Hormone-induced Enhancer Assembly","Lizhen Chen, Zhao Zhang, Qinyu Han, Barun K Maity, Leticia Rodrigues, Emily Zboril, Rashmi Adhikari, Su-Hyuk Ko, Xin Li, Shawn R Yoshida, Pengya Xue, Emilie Smith, Kexin Xu, Qianben Wang, Tim Hui-Ming Huang, Shasha Chong, Zhijie Liu","Transcription factors (TFs) activate enhancers to drive cell-specific gene programs in response to signals, but our understanding of enhancer assembly during signaling events is incomplete. Here, we show that androgen receptor (AR) forms condensates through multivalent interactions mediated by its N-terminal intrinsically disordered region (IDR) to orchestrate enhancer assembly in response to androgen signaling. AR IDR can be substituted by IDRs from selective proteins for AR condensation capacity and its function on enhancers. Expansion of the poly(Q) track within AR IDR results in a higher AR condensation propensity as measured by multiple methods, including live-cell single-molecule microscopy. Either weakening or strengthening AR condensation propensity impairs its heterotypic multivalent interactions with other enhancer components and diminishes its transcriptional activity. Our work reveals the requirement of an optimal level of AR condensation in mediating enhancer assembly and suggests that alteration of the fine-tuned multivalent IDR-IDR interactions might underlie AR-related human pathologies.","ATAC-Seq, ChIP-Seq, Global Run-On Sequencing",Pan-cancer,Not Applicable,"GSE215161, GSE215160, GSE215162",Open Access,,,,37738977
PublicationView,CA268084,10.1038/s42003-023-05398-6,Commun Biol,37853046,https://pubmed.ncbi.nlm.nih.gov/37853046,Nucleoporin downregulation modulates progenitor differentiation independent of nuclear pore numbers,2023,,"Amy E Neely, Yang Zhang, Laura A Blumensaadt, Hongjing Mao, Benjamin Brenner, Cheng Sun, Hao F Zhang, Xiaomin Bao","Nucleoporins (NUPs) comprise nuclear pore complexes, gateways for nucleocytoplasmic transport. As primary human keratinocytes switch from the progenitor state towards differentiation, most NUPs are strongly downregulated, with NUP93 being the most downregulated NUP in this process. To determine if this NUP downregulation is accompanied by a reduction in nuclear pore numbers, we leveraged Stochastic Optical Reconstruction Microscopy. No significant changes in nuclear pore numbers were detected using three independent NUP antibodies; however, NUP reduction in other subcellular compartments such as the cytoplasm was identified. To investigate how NUP reduction influences keratinocyte differentiation, we knocked down NUP93 in keratinocytes in the progenitor-state culture condition. NUP93 knockdown diminished keratinocytes' clonogenicity and epidermal regenerative capacity, without drastically affecting nuclear pore numbers or permeability. Using transcriptome profiling, we identified that NUP93 knockdown induces differentiation genes related to both mechanical and immune barrier functions, including the activation of known NF-κB target genes. Consistently, keratinocytes with NUP93 knockdown exhibited increased nuclear localization of the NF-κB p65/p50 transcription factors, and increased NF-κB reporter activity. Taken together, these findings highlight the gene regulatory roles contributed by differential NUP expression levels in keratinocyte differentiation, independent of nuclear pore numbers.","Cell Culture, Plasmid Construction, Western Blotting, RT-qPCR, Imaging, Confocal Microscopy, RNA Sequencing, Apoptosis Assay, Luciferase Reporter Assay",Pan-cancer,Not Applicable,GSE209655,Open Access,,,,37853046
PublicationView,CA210181,10.1088/1361-6560/acfa5f,Phys Med Biol,37714187,https://pubmed.ncbi.nlm.nih.gov/37714187,Analysis and prediction of liver volume change maps derived from computational tomography scans acquired pre- and post-radiation therapy,2023,"Liver cancer, Radiation Therapy, Treatment Response, Deformable Image Registration, Deep Learning","Guillaume Cazoulat, Aashish C Gupta, Mais M Al Taie, Eugene J Koay, Kristy K Brock","External beam radiation therapy (EBRT) of liver cancers can cause local liver atrophy as a result of tissue damage or hypertrophy as a result of liver regeneration. Predicting those volumetric changes would enable new strategies for liver function preservation during treatment planning. However, understanding of the spatial dose/volume relationship is still limited. This study leverages the use of deep learning-based segmentation and biomechanical deformable image registration (DIR) to analyze and predict this relationship. Pre- and Post-EBRT imaging data were collected for 100 patients treated for hepatocellular carcinomas, cholangiocarcinoma or CRC with intensity-modulated radiotherapy (IMRT) with prescription doses ranging from 50 to 100 Gy delivered in 10-28 fractions. For each patient, DIR between the portal and venous (PV) phase of a diagnostic computed tomography (CT) scan acquired before radiation therapy (RT) planning, and a PV phase of a diagnostic CT scan acquired after the end of RT (on average 147 ± 36 d) was performed to calculate Jacobian maps representing volume changes in the liver. These volume change maps were used: (i): to analyze the dose/volume relationship in the whole liver and individual Couinaud's segments; and (ii): to investigate the use of deep-learning to predict a Jacobian map solely based on the pre-RT diagnostic CT and planned dose distribution. Moderate correlations between mean equivalent dose in 2 Gy fractions (EQD2) and volume change was observed for all liver sub-regions analyzed individually with Pearson correlation<i>r</i>ranging from -0.36 to -067. The predicted volume change maps showed a significantly stronger voxel-wise correlation with the DIR-based volume change maps than when considering the original EQD2 distribution (0.63 ± 0.24 versus 0.55 ± 23, respectively), demonstrating the ability of the proposed approach to establish complex relationships between planned dose and liver volume response months after treatment, which represents a promising prediction tool for the development of future adaptive and personalized liver radiation therapy strategies.","Computed Tomography, Deep Learning",Hepatocellular Carcinoma,Liver,Not Applicable,Open Access,,,,37714187
PublicationView,CA256481,10.3892/ijo.2023.5565,Int J Oncol,37654190,https://pubmed.ncbi.nlm.nih.gov/37654190,"CHCHD2 mediates glioblastoma cell proliferation, mitochondrial metabolism, hypoxia‑induced invasion and therapeutic resistance",2023,"Mitochondria, Glioblastoma, Epidermal Growth Factor Receptor Variant Iii, Coiled‑coil‑helix‑coiled‑ Coil‑helix Domain‑containing Protein 2","Jan C Lumibao, Payton L Haak, Vladimir L Kolossov, Jee-Wei Emily Chen, Jeremy Stutchman, Alejandra Ruiz, Mayandi Sivaguru, Jann N Sarkaria, Brendan A C Harley, Andrew J Steelman, H Rex Gaskins","Glioblastoma (GBM) is the most common and malignant primary brain tumor affecting adults and remains incurable. The mitochondrial coiled‑coil‑helix‑coiled‑coil‑helix domain‑containing protein 2 (CHCHD2) has been demonstrated to mediate mitochondrial respiration, nuclear gene expression and cell migration; however, evidence of this in GBM is lacking. In the present study, it was hypothesized that CHCHD2 may play a functional role in U87 GBM cells expressing the constitutively active epidermal growth factor receptor variant III (EGFRvIII). The amplification of the <i>CHCHD2</i> gene was found to be associated with a decreased patient overall and progression‑free survival. The CHCHD2 mRNA levels were increased in high‑vs. low‑grade glioma, <i>IDH</i>‑wt GBMs, and in tumor vs. non‑tumor tissue. Additionally, CHCHD2 protein expression was greatest in invasive, EGFRvIII‑expressing patient‑derived samples. The CRISPR‑Cas9‑mediated knockout of CHCHD2 in EGFRvIII‑expressing U87 cells resulted in an altered mitochondrial respiration and glutathione status, in decreased cell growth and invasion under both normoxic and hypoxic conditions, and in an enhanced sensitivity to cytotoxic agents. CHCHD2 was distributed in both the mitochondria and nuclei of U87 and U87vIII cells, and the U87vIII cells exhibited a greater nuclear expression of CHCHD2 compared to isogenic U87 cells. Incubation under hypoxic conditions, serum starvation and the reductive unfolding of CHCHD2 induced the nuclear accumulation of CHCHD2 in both cell lines. Collectively, the findings of the present study indicate that CHCHD2 mediates a variety of GBM characteristics, and highlights mitonuclear retrograde signaling as a pathway of interest in GBM cell biology.","Cell Culture, Cell Proliferation Assay, Cytotoxicity Assay, Hydrogels, Western Blotting",Glioblastoma,Brain,Not Applicable,Open Access,,,,37654190
PublicationView,CA251443,10.1038/s41467-023-41907-1,Nat Commun,37872151,https://pubmed.ncbi.nlm.nih.gov/37872151,Hierarchical assembly of tryptophan zipper peptides into stress-relaxing bioactive hydrogels,2023,,"Ashley K Nguyen, Thomas G Molley, Egi Kardia, Sylvia Ganda, Sudip Chakraborty, Sharon L Wong, Juanfang Ruan, Bethany E Yee, Jitendra Mata, Abhishek Vijayan, Naresh Kumar, Richard D Tilley, Shafagh A Waters, Kristopher A Kilian","Soft materials in nature are formed through reversible supramolecular assembly of biological polymers into dynamic hierarchical networks. Rational design has led to self-assembling peptides with structural similarities to natural materials. However, recreating the dynamic functional properties inherent to natural systems remains challenging. Here we report the discovery of a short peptide based on the tryptophan zipper (trpzip) motif, that shows multiscale hierarchical ordering that leads to emergent dynamic properties. Trpzip hydrogels are antimicrobial and self-healing, with tunable viscoelasticity and unique yield-stress properties that allow immediate harvest of embedded cells through a flick of the wrist. This characteristic makes Trpzip hydrogels amenable to syringe extrusion, which we demonstrate with examples of cell delivery and bioprinting. Trpzip hydrogels display innate bioactivity, allowing propagation of human intestinal organoids with apical-basal polarization. Considering these extensive attributes, we anticipate the Trpzip motif will prove a versatile building block for supramolecular assembly of soft materials for biotechnology and medicine.","Hydrogels, Transmission Electron Microscopy, Fourier-Transform Infrared Spectroscopy, Cryo-Electron Microscopy, Scanning Electron Microscopy, Organoid, Cell Viability Assay, 3D Bioprinting",Pan-cancer,Not Applicable,PXD038870,Open Access,,,,37872151
PublicationView,CA232382,10.1016/j.annonc.2023.08.008,Ann Oncol,37777307,https://pubmed.ncbi.nlm.nih.gov/37777307,Treatment of evolving cancers will require dynamic decision support,2023,"Mathematical Modeling, Cancer Ecology And Evolution, Treatment Scheduling","M A R Strobl, J Gallaher, M Robertson-Tessi, J West, A R A Anderson","Cancer research has traditionally focused on developing new agents, but an underexplored question is that of the dose and frequency of existing drugs. Based on the modus operandi established in the early days of chemotherapies, most drugs are administered according to predetermined schedules that seek to deliver the maximum tolerated dose and are only adjusted for toxicity. However, we believe that the complex, evolving nature of cancer requires a more dynamic and personalized approach. Chronicling the milestones of the field, we show that the impact of schedule choice crucially depends on processes driving treatment response and failure. As such, cancer heterogeneity and evolution dictate that a one-size-fits-all solution is unlikely-instead, each patient should be mapped to the strategy that best matches their current disease characteristics and treatment objectives (i.e. their 'tumorscape'). To achieve this level of personalization, we need mathematical modeling. In this perspective, we propose a five-step 'Adaptive Dosing Adjusted for Personalized Tumorscapes (ADAPT)' paradigm to integrate data and understanding across scales and derive dynamic and personalized schedules. We conclude with promising examples of model-guided schedule personalization and a call to action to address key outstanding challenges surrounding data collection, model development, and integration.",Mathematical Modeling,Pan-cancer,Not Applicable,Not Applicable,Open Access,,,,37777307
PublicationView,CA210180,10.1038/s42255-023-00890-z,Nat Metab,37798473,https://pubmed.ncbi.nlm.nih.gov/37798473,Spatially resolved metabolomics and isotope tracing reveal dynamic metabolic responses of dentate granule neurons with acute stimulation,2023,,"Anne Miller, Elisa M York, Sylwia A Stopka, Juan Ramón Martínez-François, Md Amin Hossain, Gerard Baquer, Michael S Regan, Nathalie Y R Agar, Gary Yellen","Neuronal activity creates an intense energy demand that must be met by rapid metabolic responses. To investigate metabolic adaptations in the neuron-enriched dentate granule cell (DGC) layer within its native tissue environment, we employed murine acute hippocampal brain slices, coupled with fast metabolite preservation and followed by mass spectrometry (MS) imaging, to generate spatially resolved metabolomics and isotope-tracing data. Here we show that membrane depolarization induces broad metabolic changes, including increased glycolytic activity in DGCs. Increased glucose metabolism in response to stimulation is accompanied by mobilization of endogenous inosine into pentose phosphates via the action of purine nucleotide phosphorylase (PNP). The PNP reaction is an integral part of the neuronal response to stimulation, because inhibition of PNP leaves DGCs energetically impaired during recovery from strong activation. Performing MS imaging on brain slices bridges the gap between live-cell physiology and the deep chemical analysis enabled by MS.",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access,,,,37798473
PublicationView,CA217378,10.3791/65865,J Vis Exp,37782104,https://pubmed.ncbi.nlm.nih.gov/37782104,Establishing a Physiologic Human Vascularized Micro-Tumor Model for Cancer Research,2023,,"Stephanie J Hachey, Daniela Gaebler, Christopher C W Hughes","A lack of validated cancer models that recapitulate the tumor microenvironment of solid cancers in vitro remains a significant bottleneck for preclinical cancer research and therapeutic development. To overcome this problem, we have developed the vascularized microtumor (VMT), or tumor chip, a microphysiological system that realistically models the complex human tumor microenvironment. The VMT forms de novo within a microfluidic platform by co-culture of multiple human cell types under dynamic, physiological flow conditions. This tissue-engineered micro-tumor construct incorporates a living perfused vascular network that supports the growing tumor mass just as newly formed vessels do in vivo. Importantly, drugs and immune cells must cross the endothelial layer to reach the tumor, modeling in vivo physiological barriers to therapeutic delivery and efficacy. Since the VMT platform is optically transparent, high-resolution imaging of dynamic processes such as immune cell extravasation and metastasis can be achieved with direct visualization of fluorescently labeled cells within the tissue. Further, the VMT retains in vivo tumor heterogeneity, gene expression signatures, and drug responses. Virtually any tumor type can be adapted to the platform, and primary cells from fresh surgical tissues grow and respond to drug treatment in the VMT, paving the way toward truly personalized medicine. Here, the methods for establishing the VMT and utilizing it for oncology research are outlined. This innovative approach opens new possibilities for studying tumors and drug responses, providing researchers with a powerful tool to advance cancer research.",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access,,,,37782104
